Date,nh3+orgn
2011-5-3,104.1456565
2011-5-4,67.54494652
2011-5-5,61.37958629
2011-5-6,59.59848223
2011-5-7,56.58430611
2011-5-8,52.74808197
2011-5-9,60.33734683
2011-5-10,151.2225857
2011-5-11,88.48515216
2011-5-12,62.33619576
2011-5-13,54.52918604
2011-5-14,51.51500993
2011-5-15,50.14492987
2011-5-16,46.58272174
2011-5-17,44.39059366
2011-5-18,43.15752161
2011-5-19,42.60948959
2011-5-20,42.06145757
2011-5-21,44.11657765
2011-5-22,50.23300645
2011-5-23,89.33900562
2011-5-24,69.84472375
2011-5-25,53.21293056
2011-5-26,45.89768172
2011-5-27,43.02051361
2011-5-28,45.60164656
2011-5-29,45.32273741
2011-5-30,44.48600995
2011-5-31,44.48600995
2011-6-1,42.7122456
2011-6-2,41.00943182
2011-6-3,40.72562952
2011-6-4,40.29992608
2011-6-5,39.69562291
2011-6-6,39.11823203
2011-6-7,38.54084115
2011-6-8,37.67475484
2011-6-9,36.6985728
2011-6-10,38.31331
2011-6-11,39.19407575
2011-6-12,38.31331
2011-6-13,38.35490172
2011-6-14,38.35490172
2011-6-15,44.17529537
2011-6-16,46.56314917
2011-6-17,43.38260619
2011-6-18,56.21242724
2011-6-19,67.86300082
2011-6-20,59.20213764
2011-6-21,67.64770253
2011-6-22,158.2442459
2011-6-23,167.8348063
2011-6-24,77.36059146
2011-6-25,45.46219198
2011-6-26,40.96539353
2011-6-27,38.91027345
2011-6-28,37.26617739
2011-6-29,36.71814537
2011-6-30,35.34806532
2011-7-1,35.34806532
2011-7-2,35.21105732
2011-7-3,34.11499327
2011-7-4,33.29294524
2011-7-5,33.01892923
2011-7-6,32.88192123
2011-7-7,32.47089721
2011-7-8,32.47089721
2011-7-9,32.33388921
2011-7-10,36.85515338
2011-7-11,41.65043356
2011-7-12,37.12916939
2011-7-13,33.97798527
2011-7-14,33.56696125
2011-7-15,37.79219027
2011-7-16,90.5011271
2011-7-17,213.4388994
2011-7-18,179.0645695
2011-7-19,80.03224756
2011-7-20,60.64072169
2011-7-21,53.62884772
2011-7-22,46.52889717
2011-7-23,45.4181537
2011-7-24,52.25142795
2011-7-25,48.81399497
2011-7-26,39.93783349
2011-7-27,35.47528704
2011-7-28,32.7644858
2011-7-29,30.702026
2011-7-30,29.59862225
2011-7-31,29.60351539
2011-8-1,30.16622684
2011-8-2,46.30870573
2011-8-3,66.63237535
2011-8-4,84.45075573
2011-8-5,37.58912483
2011-8-6,29.98273398
2011-8-7,29.24631595
2011-8-8,27.7734799
2011-8-9,27.14226444
2011-8-10,26.30064384
2011-8-11,25.35382066
2011-8-12,24.93301036
2011-8-13,25.87983354
2011-8-14,25.66942839
2011-8-15,24.82780778
2011-8-16,25.03821294
2011-8-17,28.6151005
2011-8-18,26.30064384
2011-8-19,25.14341551
2011-8-20,24.19659233
2011-8-21,23.88098461
2011-8-22,23.46017431
2011-8-23,22.91458886
2011-8-24,22.91458886
2011-8-25,21.56652795
2011-8-26,21.36590908
2011-8-27,20.64906363
2011-8-28,20.64906363
2011-8-29,20.03742075
2011-8-30,20.13283704
2011-8-31,20.73224706
2011-9-1,20.82521678
2011-9-2,20.63927734
2011-9-3,21.18241622
2011-9-4,21.54450881
2011-9-5,19.81722931
2011-9-6,19.28876986
2011-9-7,18.32482068
2011-9-8,18.06793068
2011-9-9,17.38533722
2011-9-10,17.30215379
2011-9-11,17.30215379
2011-9-12,16.55105633
2011-9-13,16.30884575
2011-9-14,15.65805773
2011-9-15,15.65805773
2011-9-16,15.73634802
2011-9-17,15.39627458
2011-9-18,16.60977405
2011-9-19,16.66115205
2011-9-20,16.14737203
2011-9-21,16.14737203
2011-9-22,15.9271806
2011-9-23,15.70698916
2011-9-24,15.56019487
2011-9-25,15.48679772
2011-9-26,15.48679772
2011-9-27,15.48679772
2011-9-28,15.7803863
2011-9-29,15.85378345
2011-9-30,16.22076918
2011-10-1,15.85378345
2011-10-2,15.70698916
2011-10-3,15.41340058
2011-10-4,15.11981199
2011-10-5,15.34000343
2011-10-6,14.68676883
2011-10-7,14.68676883
2011-10-8,15.89292859
2011-10-9,15.325324
2011-10-10,15.25437343
2011-10-11,15.325324
2011-10-12,15.75102745
2011-10-13,16.67338491
2011-10-14,15.68741659
2011-10-15,15.27639257
2011-10-16,15.07088056
