date,flow
2012282,0.40209856
2012283,0.4105936
2012284,0.41342528
2012285,0.4389104
2012286,0.44740544
2012287,0.48704896
2012288,0.51253408
2012289,0.50403904
2012290,0.495544
2012291,0.495544
2012292,0.495544
2012293,0.495544
2012294,0.49271232
2012295,0.48704896
2012296,0.48421728
2012297,0.48988064
2012298,0.50120736
2012299,0.60031616
2012300,0.61164288
2012301,0.52952416
2012302,0.50687072
2012303,0.51253408
2012304,0.50403904
2012305,0.50120736
2012306,0.50120736
2012307,0.49837568
2012308,0.49837568
2012309,0.495544
2012310,0.48704896
2012311,0.51536576
2012312,0.51536576
2012313,0.50687072
2012314,0.495544
2012315,0.51253408
2012316,0.51253408
2012317,0.47855392
2012318,0.45590048
2012319,0.46439552
2012320,0.4672272
2012321,0.4389104
2012322,0.4389104
2012323,0.44457376
2012324,0.44457376
2012325,0.43607872
2012326,0.44457376
2012327,0.44740544
2012328,0.44174208
2012329,0.42758368
2012330,0.4389104
2012331,0.42758368
2012332,0.40776192
2012333,0.424752
2012334,0.4389104
2012335,0.43607872
2012336,0.4389104
2012337,0.44174208
2012338,0.44740544
2012339,0.4530688
2012340,0.42758368
2012341,0.44457376
2012342,0.43607872
2012343,0.42758368
2012344,0.41908864
2012345,0.4672272
2012346,0.4813856
2012347,0.4672272
2012348,0.47005888
2012349,0.45590048
2012350,0.50120736
2012351,0.5238608
2012352,0.48421728
2012353,0.47289056
2012354,0.46156384
2012355,0.45023712
2012356,0.45590048
2012357,0.4530688
2012358,0.424752
2012359,0.3964352
2012360,0.3964352
2012361,0.3681184
2012362,0.3681184
2012363,0.3398016
2012364,0.3398016
2012365,0.3114848
2012366,0.3114848
2013001,0.3114848
2013002,0.3114848
2013003,0.3114848
2013004,0.3114848
2013005,0.3114848
2013006,0.3114848
2013007,0.32281152
2013008,0.3114848
2013009,0.3398016
2013010,0.3398016
2013011,0.35396
2013012,0.35396
2013013,0.34829664
2013014,0.33696992
2013015,0.33130656
2013016,0.32281152
2013017,0.31431648
2013018,0.32281152
2013019,0.33413824
2013020,0.32847488
2013021,0.3256432
2013022,0.30298976
2013023,0.29166304
2013024,0.29166304
2013025,0.29166304
2013026,0.28599968
2013027,0.2973264
2013028,0.3114848
2013029,0.31431648
2013030,0.3256432
2013031,0.31431648
2013032,0.3114848
2013033,0.30582144
2013034,0.29449472
2013035,0.29449472
2013036,0.29449472
2013037,0.29449472
2013038,0.29449472
2013039,0.30582144
2013040,0.30582144
2013041,0.3114848
2013042,0.3256432
2013043,0.33413824
2013044,0.34263328
2013045,0.35396
2013046,0.33413824
2013047,0.31714816
2013048,0.3114848
2013049,0.31714816
2013050,0.3114848
2013051,0.30298976
2013052,0.2973264
2013053,0.2973264
2013054,0.30298976
2013055,0.30865312
2013056,0.3114848
2013057,0.32281152
2013058,0.3256432
2013059,0.3256432
2013060,0.3256432
2013061,0.32281152
2013062,0.3256432
2013063,0.3256432
2013064,0.32281152
2013065,0.32281152
2013066,0.33130656
2013067,0.34263328
2013068,0.35396
2013069,0.35962336
2013070,0.35962336
2013071,0.35962336
2013072,0.35112832
2013073,0.34546496
2013074,0.35112832
2013075,0.3398016
2013076,0.3398016
2013077,0.34263328
2013078,0.34263328
2013079,0.33130656
2013080,0.32281152
2013081,0.3256432
2013082,0.34263328
2013083,0.35112832
2013084,0.36245504
2013085,0.37378176
2013086,0.40776192
2013087,0.40776192
2013088,0.42192032
2013089,0.58615776
2013090,1.33655296
2013091,1.486632
2013092,2.04730464
2013093,2.06146304
2013094,2.21437376
2013095,4.9837568
2013096,7.1641504
2013097,7.0792
2013098,10.9302848
2013099,21.2376
2013100,13.9035488
2013101,8.636624
2013102,4.672272
2013103,2.72973952
2013104,1.98783936
2013105,2.06146304
2013106,2.35878944
2013107,3.3696992
2013108,4.530688
2013109,5.7766272
2013110,6.4279136
2013111,4.24752
2013112,5.1253408
2013113,9.91088
2013114,9.0330592
2013115,7.4756352
2013116,8.070288
2013117,8.2968224
2013118,8.6649408
2013119,6.654448
2013120,5.6916768
2013121,3.822768
2013122,3.5112832
2013123,4.7572224
2013124,5.4934592
2013125,8.0419712
2013126,11.6382048
2013127,7.2491008
2013128,3.6245504
2013129,2.22003712
2013130,1.86324544
2013131,1.6706912
2013132,1.3733648
2013133,1.18364224
2013134,1.0901968
2013135,1.01374144
2013136,0.93728608
2013137,0.86649408
2013138,1.0052464
2013139,1.36203808
2013140,2.06429472
2013141,2.48621504
2013142,3.7944512
2013143,3.4263328
2013144,1.7273248
2013145,1.27991936
2013146,1.09586016
2013147,0.98259296
2013148,0.94011776
2013149,0.91180096
2013150,1.1043552
2013151,1.24027584
2013152,1.22045408
2013153,1.21195904
2013154,1.08170176
2013155,0.97976128
2013156,0.89764256
2013157,1.00807808
2013158,1.12417696
2013159,1.05338496
2013160,0.95427616
2013161,1.04488992
2013162,1.17231552
2013163,1.05904832
2013164,1.05338496
2013165,1.03073152
2013166,0.920296
2013167,0.94011776
2013168,0.91746432
2013169,0.92312768
2013170,0.8353456
2013171,0.74756352
2013172,1.9963344
2013173,4.8988064
2013174,5.2669248
2013175,2.58249216
2013176,1.46397856
2013177,1.18081056
2013178,1.07037504
2013179,0.9769296
2013180,0.89764256
2013181,0.81552384
2013182,0.74756352
2013183,0.69942496
2013184,0.6654448
2013185,0.64562304
2013186,0.63146464
2013187,0.61164288
2013188,0.60597952
2013189,0.60031616
2013190,0.64279136
2013191,0.68526656
2013192,0.59748448
2013193,0.5804944
2013194,0.5804944
2013195,0.58332608
2013196,0.55500928
2013197,0.52952416
2013198,0.50687072
2013199,0.49837568
2013200,0.48704896
2013201,0.47855392
2013202,0.48704896
2013203,0.52669248
2013204,0.51819744
2013205,0.5097024
2013206,0.51536576
2013207,0.51819744
2013208,0.53235584
2013209,0.54651424
2013210,0.52952416
2013211,0.53235584
2013212,0.5380192
2013213,0.52669248
2013214,0.51536576
2013215,0.50687072
2013216,0.495544
2013217,0.52669248
2013218,0.5380192
2013219,0.566336
2013220,0.53518752
2013221,0.51253408
2013222,0.50120736
2013223,0.49837568
2013224,0.49271232
2013225,0.47572224
2013226,0.47005888
2013227,0.46439552
2013228,0.46156384
2013229,0.4530688
2013230,0.44174208
2013231,0.4389104
2013232,0.4389104
2013233,0.43324704
2013234,0.43041536
2013235,0.42758368
2013236,0.42192032
2013237,0.41908864
2013238,0.4105936
2013239,0.40776192
2013240,0.40776192
2013241,0.40493024
2013242,0.42192032
2013243,0.41908864
2013244,0.4105936
2013245,0.40493024
2013246,0.39926688
2013247,0.39926688
2013248,0.39077184
2013249,0.38794016
2013250,0.37944512
2013251,0.37378176
2013252,0.38794016
2013253,0.3964352
2013254,0.38794016
2013255,0.37095008
2013256,0.3681184
2013257,0.38794016
2013258,0.45590048
2013259,0.44174208
2013260,0.41625696
2013261,0.44457376
2013262,0.46156384
2013263,0.47572224
2013264,0.47289056
2013265,0.45873216
2013266,0.45590048
2013267,0.44740544
2013268,0.43607872
2013269,0.43041536
2013270,0.42758368
2013271,0.45023712
2013272,0.48421728
2013273,0.47289056
2013274,0.45873216
2013275,0.46156384
2013276,0.64562304
2013277,0.65411808
2013278,0.70508832
2013279,0.71924672
2013280,0.65978144
2013281,0.61164288
2013282,0.54934592
2013283,0.5238608
2013284,0.50403904
2013285,0.495544
2013286,0.495544
2013287,0.48704896
2013288,0.58332608
2013289,0.64845472
2013290,0.62013792
2013291,0.62013792
2013292,0.6088112
2013293,0.58898944
2013294,0.57199936
2013295,0.5521776
2013296,0.53235584
2013297,0.52669248
2013298,1.14966208
2013299,1.05055328
2013300,0.71641504
2013301,0.5380192
2013302,0.47572224
2013303,0.47572224
2013304,0.48421728
2013305,0.48704896
2013306,0.47572224
2013307,0.46156384
2013308,0.45873216
2013309,0.46156384
2013310,0.49837568
2013311,0.49837568
2013312,0.47572224
2013313,0.48988064
2013314,0.4813856
2013315,0.46156384
2013316,0.43324704
2013317,0.4389104
2013318,0.45590048
2013319,0.44457376
2013320,0.45590048
2013321,0.49837568
2013322,0.4813856
2013323,0.45023712
2013324,0.48988064
2013325,0.46156384
2013326,0.424752
2013327,0.39926688
2013328,0.4105936
2013329,0.42192032
2013330,0.4105936
2013331,0.37095008
2013332,0.42192032
2013333,0.39077184
2013334,0.43041536
2013335,0.41908864
2013336,0.43041536
2013337,0.44457376
2013338,0.44457376
2013339,0.41342528
2013340,0.37378176
2013341,0.33413824
2013342,0.33413824
2013343,0.3398016
2013344,0.35396
2013345,0.35679168
2013346,0.35679168
2013347,0.35679168
2013348,0.35679168
2013349,0.35962336
2013350,0.35679168
2013351,0.35679168
2013352,0.35679168
2013353,0.35679168
2013354,0.35112832
2013355,0.34263328
2013356,0.33413824
2013357,0.33413824
2013358,0.32847488
2013359,0.33130656
2013360,0.34263328
2013361,0.35679168
2013362,0.36245504
2013363,0.3681184
